model,pairs,anchored_correct,plain_correct,discordant_anchored_only,discordant_plain_only,mcnemar_exact_p,anchored_rate,anchored_ci_low,anchored_ci_high,plain_rate,plain_ci_low,plain_ci_high,structural_tied_pairs,wilcoxon_p
gemini-3.6-flash,48,48,48,0,0,1.0,1.0,0.9258973488472576,0.9999999999999999,1.0,0.9258973488472576,0.9999999999999999,44,0.7054569861112734
gemini-3.5-flash-lite,48,46,47,1,2,1.0,0.9583333333333334,0.8602408885222853,0.9884983479210344,0.9791666666666666,0.8910053086246883,0.9963129840206002,45,0.5637028616507731
