method,loc_bucket,n,correct,abstained,misidentified,accuracy,abstention_rate,misidentification_rate
hybrid,< 10 LOC,81,68,10,3,0.8395061728395061,0.12345679012345678,0.037037037037037035
hybrid,> 50 LOC,18,18,0,0,1.0,0.0,0.0
pygments_only,< 10 LOC,81,23,42,16,0.2839506172839506,0.5185185185185185,0.19753086419753085
pygments_only,> 50 LOC,18,6,8,4,0.3333333333333333,0.4444444444444444,0.2222222222222222
regex_only,< 10 LOC,81,71,2,8,0.8765432098765432,0.024691358024691357,0.09876543209876543
regex_only,> 50 LOC,18,18,0,0,1.0,0.0,0.0
