corpus,method,n,correct,abstained,misidentified,accuracy,abstention_rate,misidentification_rate
curated,hybrid,27,27,0,0,1.0,0.0,0.0
curated,pygments_only,27,14,8,5,0.5185185185185185,0.2962962962962963,0.18518518518518517
curated,regex_only,27,20,0,7,0.7407407407407407,0.0,0.25925925925925924
scaled,hybrid,18,18,0,0,1.0,0.0,0.0
scaled,pygments_only,18,6,8,4,0.3333333333333333,0.4444444444444444,0.2222222222222222
scaled,regex_only,18,18,0,0,1.0,0.0,0.0
truncated,hybrid,54,41,10,3,0.7592592592592593,0.18518518518518517,0.05555555555555555
truncated,pygments_only,54,9,34,11,0.16666666666666666,0.6296296296296297,0.2037037037037037
truncated,regex_only,54,51,2,1,0.9444444444444444,0.037037037037037035,0.018518518518518517
