language,concurrency,batch_ms,mean_container_ms,median_container_ms,p95_container_ms,max_container_ms
python,1,299.31029999897873,298.92020000079356,298.92020000079356,298.92020000079356,298.92020000079356
python,5,356.72730000078445,351.1071799995989,355.12089999974705,355.55049999857147,355.55049999857147
python,10,454.45979999931296,434.74265999975614,443.75829999989946,453.397600000244,453.397600000244
python,25,873.7768000009964,789.7577880000608,813.6133000007248,869.3493000009767,870.8566000004794
